time,latitude,longitude,depth,nst,gap,mag,Year,Month,tsunami,is_ocean,is_steep_slope,horizontal_count_1y_full,vertical_count_1y_full
2012-09-05T14:42:07.800Z,10.085,-85.315,35.0,703.0,34.3,7.6,2012,9,1,0,0,0,1
2012-08-31T12:47:33.380Z,10.811,126.638,28.0,682.0,10.2,7.6,2012,8,1,1,1,0,0
2012-08-27T04:37:19.430Z,12.139,-88.59,28.0,417.0,37.0,7.3,2012,8,1,1,1,0,0
2012-04-11T10:43:10.850Z,0.802,92.463,25.1,341.0,14.9,8.2,2012,4,1,1,0,1,0
2012-04-11T08:38:36.720Z,2.327,93.063,20.0,499.0,16.6,8.6,2012,4,1,1,0,1,0
2012-03-20T18:02:47.440Z,16.493,-98.231,20.0,672.0,37.9,7.4,2012,3,1,0,0,0,0
2012-03-14T09:08:35.140Z,40.887,144.944,12.0,552.0,18.8,6.9,2012,3,1,1,0,0,4
2012-03-09T07:09:50.950Z,-19.125,169.613,16.0,488.0,14.2,6.7,2012,3,1,1,0,2,4
2012-03-03T12:19:55.090Z,-22.141,170.34,14.0,418.0,13.1,6.6,2012,3,1,1,1,1,0
2012-02-06T03:49:12.520Z,9.999,123.206,11.0,572.0,11.1,6.7,2012,2,1,0,0,0,1
2012-01-09T04:07:14.670Z,-10.617,165.16,28.0,592.0,16.4,6.4,2012,1,1,1,1,0,2
2011-10-21T17:57:16.100Z,-28.993,-176.238,33.0,707.0,14.8,7.4,2011,10,1,1,1,0,3
2011-07-10T00:57:10.800Z,38.034,143.264,23.0,531.0,12.4,7.0,2011,7,1,1,1,3,20
2011-07-06T19:03:18.260Z,-29.539,-176.34,17.0,567.0,33.5,7.6,2011,7,1,1,1,0,0
2011-06-24T03:09:39.470Z,52.05,-171.836,52.0,791.0,15.3,7.3,2011,6,1,1,1,1,1
2011-05-10T08:55:08.930Z,-20.244,168.226,11.0,519.0,12.5,6.8,2011,5,1,1,0,2,5
2011-04-07T14:32:43.290Z,38.276,141.588,42.0,446.0,17.7,7.1,2011,4,1,0,0,3,15
2011-03-11T05:46:24.120Z,38.297,142.373,29.0,541.0,9.5,9.1,2011,3,1,1,0,0,2
2011-03-09T02:45:20.330Z,38.435,142.842,32.0,550.0,17.4,7.3,2011,3,1,1,0,0,2
2011-01-13T16:16:41.540Z,-20.628,168.471,9.0,578.0,13.3,7.0,2011,1,1,1,1,2,2
2010-12-25T13:16:37.000Z,-19.702,167.947,16.0,409.0,12.0,7.3,2010,12,1,1,0,0,0
2010-12-21T17:19:40.660Z,26.901,143.698,14.0,603.0,13.0,7.4,2010,12,1,1,1,0,0
2010-10-25T14:42:22.460Z,-3.487,100.082,20.1,379.0,23.0,7.8,2010,10,1,1,1,1,2
2010-07-18T13:34:59.360Z,-5.931,150.59,35.0,397.0,18.2,7.3,2010,7,1,0,1,0,1
2010-06-12T19:26:50.460Z,7.881,91.936,35.0,514.0,18.6,7.5,2010,6,1,1,1,1,0
2010-05-27T17:14:46.570Z,-13.698,166.643,31.0,327.0,11.7,7.2,2010,5,1,1,1,0,9
2010-04-06T22:15:01.580Z,2.383,97.048,31.0,352.0,19.2,7.8,2010,4,1,1,0,0,1
2010-03-11T14:39:43.950Z,-34.29,-71.891,11.0,415.0,12.5,6.9,2010,3,1,0,0,0,2
2010-02-27T06:34:11.530Z,-36.122,-72.898,22.9,454.0,17.8,8.8,2010,2,1,1,0,0,0
2010-02-26T20:31:26.970Z,25.93,128.425,25.0,487.0,15.7,7.0,2010,2,1,1,1,0,0
2010-01-05T12:15:32.210Z,-9.019,157.551,15.4,338.0,15.0,6.8,2010,1,1,1,1,0,0
2009-09-29T17:48:10.990Z,-15.489,-172.095,18.0,520.0,20.8,8.1,2009,9,1,1,1,0,1
2009-09-02T07:55:01.050Z,-7.782,107.297,46.0,312.0,16.3,7.0,2009,9,1,1,1,0,0
2009-08-16T07:38:21.700Z,-1.479,99.49,20.0,369.0,14.9,6.7,2009,8,1,1,0,0,0
2009-07-15T09:22:29.030Z,-45.762,166.562,12.0,434.0,16.8,7.8,2009,7,1,0,1,0,0
2009-07-01T09:30:10.410Z,34.164,25.471,19.0,396.0,20.5,6.4,2009,7,1,1,1,0,0
2009-06-23T14:19:22.350Z,-5.157,153.782,64.0,269.0,13.8,6.7,2009,6,1,1,0,0,0
2009-01-15T17:49:39.070Z,46.857,155.154,36.0,522.0,15.6,7.4,2009,1,1,1,1,0,1
2008-09-11T00:20:50.920Z,41.892,143.754,25.0,500.0,22.2,6.8,2008,9,1,1,0,0,0
2008-04-09T12:46:12.720Z,-20.071,168.892,33.0,486.0,13.4,7.3,2008,4,1,1,1,1,7
2007-12-09T07:28:20.820Z,-25.996,-177.514,152.5,512.0,11.8,7.8,2007,12,1,1,0,1,1
2007-11-14T15:40:50.530Z,-22.247,-69.89,40.0,610.0,22.4,7.7,2007,11,1,0,1,0,0
2007-09-12T11:10:26.830Z,-4.438,101.367,34.0,411.0,32.3,8.4,2007,9,1,1,1,0,0
2007-09-02T01:05:18.150Z,-11.61,165.762,35.0,312.0,21.3,7.2,2007,9,1,1,1,0,1
2007-08-15T23:40:57.890Z,-13.386,-76.603,39.0,625.0,25.7,8.0,2007,8,1,1,0,0,2
2007-08-02T03:21:42.820Z,51.307,-179.971,21.0,725.0,23.6,6.7,2007,8,1,1,1,0,1
2007-08-02T02:37:42.380Z,47.116,141.798,5.0,429.0,70.1,6.2,2007,8,1,1,0,0,0
2007-03-25T00:41:57.820Z,37.336,136.588,8.0,493.0,23.9,6.7,2007,3,1,1,0,0,0
2007-03-25T00:40:01.610Z,-20.617,169.357,34.0,426.0,25.3,7.1,2007,3,1,1,1,0,0
2007-01-13T04:23:21.160Z,46.243,154.524,10.0,606.0,14.0,8.1,2007,1,1,1,0,0,8
2006-11-15T11:14:13.570Z,46.592,153.266,10.0,576.0,20.9,8.3,2006,11,1,1,1,0,3
2006-11-13T08:02:44.490Z,20.656,119.997,13.7,124.0,40.6,5.2,2006,11,1,1,0,0,1
2006-10-23T21:17:19.980Z,29.351,140.27,11.0,427.0,28.8,6.4,2006,10,1,1,0,0,0
2006-09-28T06:22:09.730Z,-16.592,-172.033,28.0,702.0,20.9,6.9,2006,9,1,1,1,0,1
2006-07-17T08:19:26.680Z,-9.284,107.419,20.0,357.0,36.8,7.7,2006,7,1,1,1,0,0
2006-05-03T15:26:40.290Z,-20.187,-174.123,55.0,626.0,20.7,8.0,2006,5,1,1,1,2,0
2006-03-14T06:57:33.860Z,-3.595,127.214,30.1,306.0,21.3,6.7,2006,3,1,0,1,0,0
2006-01-01T07:11:57.010Z,31.394,140.131,10.0,143.0,98.9,5.6,2006,1,1,1,0,0,0
2005-11-14T21:38:51.420Z,38.107,144.896,11.0,699.0,21.4,7.0,2005,11,1,1,0,0,2
2005-08-16T02:46:28.400Z,38.276,142.039,36.0,698.0,19.6,7.2,2005,8,1,1,0,0,0
2005-04-10T10:29:11.280Z,-1.644,99.607,19.0,656.0,21.2,6.7,2005,4,1,1,0,0,0
2005-03-28T16:09:36.530Z,2.085,97.108,30.0,510.0,22.1,8.6,2005,3,1,0,0,0,2
2005-02-14T18:05:59.320Z,15.775,-61.744,11.6,466.0,22.6,5.8,2005,2,1,1,0,0,1
2005-01-19T06:11:36.400Z,34.064,141.491,27.8,225.0,78.5,6.6,2005,1,1,1,1,0,1
2004-12-26T00:58:53.450Z,3.295,95.982,30.0,601.0,22.0,9.1,2004,12,1,1,0,0,0
2004-12-23T14:59:04.410Z,-49.312,161.345,10.0,331.0,59.3,8.1,2004,12,1,1,0,1,0
2004-11-28T18:32:14.130Z,43.006,145.119,39.0,929.0,23.9,7.0,2004,11,1,1,0,0,2
2004-11-22T20:26:23.900Z,-46.676,164.721,10.0,585.0,14.7,7.1,2004,11,1,1,1,0,0
2004-11-21T11:41:07.760Z,15.679,-61.706,14.0,672.0,30.0,6.3,2004,11,1,1,1,0,0
2004-11-11T21:26:41.150Z,-8.152,124.868,10.0,301.0,33.8,7.5,2004,11,1,1,1,0,0
2004-09-05T14:57:18.610Z,33.184,137.071,10.0,594.0,27.5,7.4,2004,9,1,1,0,1,0
2004-09-05T10:07:07.820Z,33.07,136.618,14.0,643.0,28.4,7.2,2004,9,1,1,0,1,0
2004-02-11T08:15:03.830Z,31.675,35.551,26.7,386.0,99.7,5.3,2004,2,1,1,0,0,0
2004-01-28T22:15:30.700Z,-3.12,127.4,17.4,243.0,42.5,6.7,2004,1,1,1,1,1,0
2004-01-03T16:23:21.020Z,-22.253,169.683,22.0,597.0,39.8,7.1,2004,1,1,1,1,1,7
2003-12-27T16:00:59.450Z,-22.015,169.766,10.0,235.0,46.6,7.3,2003,12,1,1,1,1,0
2003-11-17T06:43:06.800Z,51.146,178.65,33.0,604.0,24.0,7.8,2003,11,1,1,1,2,3
2003-10-31T01:06:28.280Z,37.812,142.619,10.0,568.0,61.2,7.0,2003,10,1,1,1,0,3
2003-08-14T05:14:54.760Z,39.16,20.605,10.0,572.0,31.9,6.3,2003,8,1,0,0,0,0
2003-08-04T04:37:20.130Z,-60.532,-43.411,10.0,315.0,25.2,7.6,2003,8,1,1,1,0,0
2003-05-21T18:44:20.100Z,36.964,3.634,12.0,534.0,19.4,6.8,2003,5,1,1,0,0,0
2003-01-20T08:43:06.070Z,-10.491,160.77,33.0,457.0,,7.3,2003,1,1,1,1,0,3
2002-09-13T22:28:29.460Z,13.036,93.068,21.0,646.0,,6.5,2002,9,1,1,0,0,0
2002-03-31T06:52:50.490Z,24.279,122.179,32.8,550.0,,7.1,2002,3,1,1,1,0,1
2002-03-26T03:45:48.700Z,23.346,124.09,33.0,345.0,,6.4,2002,3,1,1,0,0,1
2002-03-05T21:16:09.130Z,6.033,124.249,31.0,321.0,,7.5,2002,3,1,1,1,0,1
2002-01-02T17:22:48.760Z,-17.6,167.856,21.0,427.0,,7.2,2002,1,1,1,1,0,4
2001-12-18T04:02:58.280Z,23.954,122.734,14.0,499.0,,6.8,2001,12,1,1,1,0,0
2001-10-12T05:02:34.000Z,52.63,-132.2,20.0,432.0,,6.1,2001,10,1,1,1,1,0
2001-06-23T20:33:14.130Z,-16.265,-73.641,33.0,518.0,,8.4,2001,6,1,1,1,0,0
2001-01-13T17:33:32.380Z,13.049,-88.66,60.0,427.0,,7.7,2001,1,1,1,0,0,0
