magnitude,depth,latitude,longitude,Year,Month,tsunami,is_ocean,is_steep_slope,horizontal_count_1y_full,vertical_count_1y_full
9.5,25.0,-38.14,-73.41,1960,5,1,0,0,0,0
9.2,25.0,60.91,-147.34,1964,3,1,0,1,0,0
9.1,30.0,3.3,95.98,2004,12,1,1,0,0,0
9.1,24.0,38.3,142.37,2011,3,1,1,0,0,2
9.0,20.0,52.62,159.78,1952,11,1,1,0,0,0
8.8,35.0,-36.12,-72.9,2010,2,1,1,0,0,0
8.8,20.0,0.96,-79.37,1906,1,1,0,0,0,0
8.7,33.0,51.25,178.72,1965,2,1,1,1,0,0
8.6,15.0,28.36,96.45,1950,8,1,0,0,0,0
8.6,30.0,2.09,97.11,2005,3,1,0,0,0,2
8.6,20.0,51.5,-175.63,1957,3,1,1,1,0,0
8.6,25.0,53.49,-162.83,1946,4,1,1,1,0,0
8.5,30.0,-5.05,131.61,1938,2,1,1,1,0,0
8.5,70.0,-28.29,-69.85,1922,11,1,0,1,0,0
8.5,35.0,44.87,149.48,1963,10,1,1,1,0,0
8.5,23.0,-4.44,101.37,2007,9,1,1,1,0,0
8.4,25.0,54.49,160.47,1923,2,1,0,0,0,0
8.4,15.0,39.1,144.5,1933,3,1,1,0,0,0
8.4,33.0,-16.27,-71.59,2001,6,1,0,1,0,0
8.7,20.0,2.33,93.06,2012,4,1,1,0,1,0
